Species,Family,Area Present,Area Future Optimistic,Area Future Pessimistic,IUCN category,Branch Length
Amazophrynella minuta,Bufonidae,793553000000,7790283638,4746356514,Least Concern,32.98838711
Amazophrynella siona,Bufonidae,71226602142,115188000000,102692000000,Least Concern,NA
Anaxyrus boreas,Bufonidae,18107760850,54081018140,33163036334,Least Concern,2.744266693
Anaxyrus californicus,Bufonidae,19128272270,860226000000,839411000000,Endangered,1.060445958
Anaxyrus cognatus,Bufonidae,424538000000,687482000000,785428000000,Least Concern,11.34185987
Anaxyrus compactilis,Bufonidae,321302000000,54987122132,31103362136,Least Concern,13.52128191
Anaxyrus debilis,Bufonidae,323149000000,76111258152,60783281500,Least Concern,3.58642426
Anaxyrus kelloggi,Bufonidae,77826251590,170883000000,149529000000,Least Concern,2.687159252
Anaxyrus mexicanus,Bufonidae,68967678154,128656000000,130510000000,Least Concern,1.060445958
Anaxyrus punctatus,Bufonidae,633745000000,80643399858,80643399858,Least Concern,19.99764048
Anaxyrus retiformis,Bufonidae,27995261316,85509171068,74914574880,Least Concern,3.58642426
Anaxyrus speciosus,Bufonidae,154796000000,2406930000000,2446150000000,Least Concern,2.687159252
Anaxyrus woodhousii,Bufonidae,45641579796,4078750000000,3933150000000,Least Concern,2.394641543
Aplastodiscus albofrenatus,Hylidae,19452063186,985026000000,963708000000,Least Concern,15.71184367
Aplastodiscus albosignatus,Hylidae,17260491864,127108000000,107599000000,Least Concern,9.49722541
Aplastodiscus arildae,Hylidae,119038000000,15418444600,16134601282,Least Concern,5.712152074
Aplastodiscus cavicola,Hylidae,143887000000,6979313352,7888173424,Least Concern,1.481334451
Aplastodiscus cochranae,Hylidae,14199184966,18141055618,17404773222,Least Concern,9.878634711
Aplastodiscus ehrhardti,Hylidae,23639342656,333234000000,443707000000,Least Concern,4.022800291
Aplastodiscus leucopygius,Hylidae,37852414014,21304004,0,Least Concern,5.302320045
Aplastodiscus lutzorum,Hylidae,4901422276,478099000000,464858000000,Least Concern,NA
Aplastodiscus perviridis,Hylidae,232102000000,23438752162,22327762206,Least Concern,3.221905173
Aplastodiscus weygoldti,Hylidae,53110998104,35299916964,34338310404,Least Concern,5.712152074
Atelopus barbotini,Bufonidae,7678986876,238302000000,236439000000,Least Concern,3.044309065
Atelopus bomolochos,Bufonidae,6788421482,97932569028,103931000000,Critically Endangered,1.640705229
Atelopus carrikeri,Bufonidae,1574724654,95508261988,84155429804,Endangered,7.154990425
Atelopus chiriquiensis,Bufonidae,4030855726,5533410000000,5648570000000,Extinct,6.872042224
Atelopus coynei,Bufonidae,1025677772,17753615896,6645274636,Critically Endangered,0.125161474
Atelopus cruciger,Bufonidae,14791196478,831529000000,926347000000,Critically Endangered,4.289915959
Atelopus ebenoides,Bufonidae,427039918,72618206324,36576842396,Critically Endangered,1.961278089
Atelopus elegans,Bufonidae,11560595708,5224335754,5427542590,Endangered,0.628436858
Atelopus exiguus,Bufonidae,747036210,10939724140,10939724140,Endangered,0.758060434
Atelopus flavescens,Bufonidae,38963818096,89178053344,86096237952,Least Concern,1.304801143
Atelopus franciscus,Bufonidae,26818206368,10939724140,10939724140,Least Concern,1.897380052
Atelopus hoogmoedi,Bufonidae,628819000000,22473555194,30447739712,Least Concern,4.208592897
Atelopus ignescens,Bufonidae,14358948366,21690782684,19743578442,Critically Endangered,2.632107952
Atelopus laetissimus,Bufonidae,587464318,1964064960,496633858,Endangered,3.212507097
Atelopus limosus,Bufonidae,1792837586,7396866186,351762212,Critically Endangered,2.531255035
Atelopus longirostris,Bufonidae,3825104906,66163550710,58734692204,Critically Endangered,1.198021619
Atelopus manauensis,Bufonidae,5507106326,10339810296,8115203210,Endangered,NA
Atelopus mindoensis,Bufonidae,1431768432,59327623912,52420331644,Critically Endangered,4.947590977
Atelopus muisca,Bufonidae,404760202,69136808680,55384871410,Critically Endangered,2.629204768
Atelopus nanay,Bufonidae,448253652,40044397086,40044397086,Critically Endangered,0.758060434
Atelopus nepiozomus,Bufonidae,5203904530,31364114896,30754855872,Critically Endangered,0.081747821
Atelopus palmatus,Bufonidae,30028911484,3930986098,6662709258,Critically Endangered,3.473140075
Atelopus pastuso,Bufonidae,5534255456,49041427066,51380671232,Critically Endangered,1.618297743
Atelopus peruensis,Bufonidae,7515212614,43685916484,38854185208,Critically Endangered,0.151841641
Atelopus podocarpus,Bufonidae,1598097228,86139028380,76216998348,Critically Endangered,3.531852028
Atelopus pulcher,Bufonidae,12575765822,9014173122,10035167118,Vulnerable,4.970059523
Atelopus senex,Bufonidae,968625850,13481416958,12417268486,Extinct,0.174088379
Atelopus sernai,Bufonidae,679571370,1839880000000,1898080000000,Critically Endangered,0.880093446
Atelopus spumarius,Bufonidae,48961966216,5841189790,7005807832,Least Concern,2.891456783
Atelopus spurrelli,Bufonidae,30028911484,301804000000,341199000000,Near Threatened,7.154990425
Atelopus subornatus,Bufonidae,1108180200,67529522860,42843084278,Critically Endangered,1.095413288
Atelopus varius,Bufonidae,18013491168,1013850000000,1013890000000,Critically Endangered,0.174088379
Atelopus walkeri,Bufonidae,104956328,19165654976,19821128656,Data Deficient,5.198096567
Atelopus zeteki,Bufonidae,739743582,34668532460,38555621938,Critically Endangered,0.930368061
Atlantihyla spinipollex,Hylidae,864879358,296415000000,419562000000,Endangered,8.83595862
Boana albomarginata,Hylidae,491574000000,18298585144,14971478346,Least Concern,28.99243211
Boana albopunctata,Hylidae,3869530000000,2868079798,1699421236,Least Concern,3.157988047
Boana alfaroi,Hylidae,66128022022,112272000000,81827253922,Least Concern,3.821833805
Boana almendarizae,Hylidae,12981218066,52893496792,46686582622,Near Threatened,9.905858004
Boana appendiculata,Hylidae,82244782246,522995000000,370099000000,Least Concern,NA
Boana atlantica,Hylidae,32083329694,62228162130,78718056312,Least Concern,6.945835077
Boana bandeirantes,Hylidae,5781240912,34119538218,32089554834,Least Concern,5.30748428
Boana bischoffi,Hylidae,135079000000,56090577476,56174567470,Least Concern,5.348106819
Boana boans,Hylidae,4463260000000,228469000000,271178000000,Least Concern,14.02067053
Boana caingua,Hylidae,266751000000,49993376970,46870521880,Least Concern,4.802558138
Boana calcarata,Hylidae,1855370000000,89856794130,104476000000,Least Concern,9.905858004
Boana callipleura,Hylidae,13837055624,18565291616,7555102922,Least Concern,6.023366648
Boana cinerascens,Hylidae,4637300000000,190562000000,197542000000,Least Concern,17.06142488
Boana cordobae,Hylidae,17126083756,22457920074,23888612284,Least Concern,6.509340603
